ti_uid,target,indication_mesh_term,combined_max_phase,succ_3_a,year_launch,areas,assoc_source
DRD2-D001714,DRD2,Bipolar Disorder,Launched,TRUE,,psychiatry,OTG
DRD2-D003863,DRD2,Depression,Launched,TRUE,,psychiatry,OTG
DRD2-D003865,DRD2,"Depressive Disorder, Major",Launched,TRUE,,psychiatry,OTG
DRD2-D011618,DRD2,Psychotic Disorders,Launched,TRUE,2010,psychiatry,OTG
DRD2-D012148,DRD2,Restless Legs Syndrome,Launched,TRUE,,"neurology, psychiatry",OTG
DRD2-D012559,DRD2,Schizophrenia,Launched,TRUE,2020,psychiatry,OTG
EGLN1-D000740,EGLN1,Anemia,Launched,TRUE,,hematology,OTG
EGLN2-D000740,EGLN2,Anemia,Launched,TRUE,,hematology,OTG
EGLN3-D000740,EGLN3,Anemia,Launched,TRUE,,hematology,OTG
EPAS1-D007680,EPAS1,Kidney Neoplasms,Launched,TRUE,2021,oncology,OTG
EPOR-D000740,EPOR,Anemia,Launched,TRUE,,hematology,OTG
ERBB4-D001943,ERBB4,Breast Neoplasms,Launched,TRUE,2019,oncology,OTG
ESR1-D001943,ESR1,Breast Neoplasms,Launched,TRUE,,oncology,OTG
ESR1-D010024,ESR1,Osteoporosis,Launched,TRUE,,"musculoskeletal, metabolic",OTG
F10-D002836,F10,Hemophilia B,Launched,TRUE,,"hematology, congenital",OMIM
F10-D006467,F10,Hemophilia A,Launched,TRUE,2020,"hematology, congenital",OMIM
F11-D005173,F11,Factor XI Deficiency,Launched,TRUE,,"hematology, congenital",OMIM
F2-D013927,F2,Thrombosis,Launched,TRUE,,cardiovascular,OTG
F2-D020246,F2,Venous Thrombosis,Launched,TRUE,,cardiovascular,OTG
F7-D005168,F7,Factor VII Deficiency,Phase III,FALSE,,"hematology, congenital",OMIM
F7-D006467,F7,Hemophilia A,Launched,TRUE,2010,"hematology, congenital",OMIM
F8-D006467,F8,Hemophilia A,Launched,TRUE,,"hematology, congenital",OMIM
F9-D002836,F9,Hemophilia B,Launched,TRUE,2018,"hematology, congenital",OMIM
